                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50486,                0.92624,                      1,                0.41094,             0.00023667,             0.00023667,             0.00023667
                      2,                0.20962,                0.98156,                      1,                0.34841,             0.00045587,             0.00045587,             0.00045587
                      3,                0.12755,                0.99716,                      1,                0.32145,             0.00065623,             0.00065623,             0.00065623
                      4,                0.08775,                0.99574,                      1,                0.31893,             0.00062918,             0.00062918,             0.00062918
                      5,                0.09302,                      1,                      1,                0.31603,              0.0006009,              0.0006009,              0.0006009
                      6,                0.08742,                      1,                      1,                0.31634,             0.00057263,             0.00057263,             0.00057263
                      7,                0.05018,                0.99716,                      1,                0.31647,             0.00054435,             0.00054435,             0.00054435
                      8,                0.04945,                0.99858,                      1,                0.31612,             0.00051608,             0.00051608,             0.00051608
                      9,                0.05193,                      1,                      1,                0.31516,              0.0004878,              0.0004878,              0.0004878
                     10,                0.04808,                0.99858,                      1,                0.31613,             0.00045953,             0.00045953,             0.00045953
                     11,                0.02861,                0.99858,                      1,                0.31422,             0.00043126,             0.00043126,             0.00043126
                     12,                0.04823,                      1,                      1,                0.31398,             0.00040298,             0.00040298,             0.00040298
                     13,                0.04115,                      1,                      1,                0.31453,             0.00037471,             0.00037471,             0.00037471
                     14,                 0.0265,                      1,                      1,                0.31402,             0.00034643,             0.00034643,             0.00034643
                     15,                0.03104,                      1,                      1,                0.31402,             0.00031816,             0.00031816,             0.00031816
                     16,                0.03399,                      1,                      1,                0.31432,             0.00028988,             0.00028988,             0.00028988
                     17,                0.02106,                      1,                      1,                0.31417,             0.00026161,             0.00026161,             0.00026161
                     18,                0.02494,                      1,                      1,                0.31478,             0.00023334,             0.00023334,             0.00023334
                     19,                0.02098,                      1,                      1,                0.31345,             0.00020506,             0.00020506,             0.00020506
                     20,                0.02604,                      1,                      1,                0.31404,             0.00017679,             0.00017679,             0.00017679
                     21,                0.01428,                      1,                      1,                0.31369,             0.00014851,             0.00014851,             0.00014851
                     22,                0.01564,                      1,                      1,                0.31375,             0.00012024,             0.00012024,             0.00012024
                     23,                0.01616,                      1,                      1,                0.31376,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.01654,                      1,                      1,                0.31372,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.01121,                      1,                      1,                0.31356,             3.5414e-05,             3.5414e-05,             3.5414e-05
